author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ПИК;developer;https://www.cian.ru/sale/flat/315824916/;Москва;sale;flat;3;23;2;47.8;13833320;Царицыно;;;Царицыно;Кавказский Бульвар 51 ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/298748277/;Москва;sale;flat;6;30;2;57.0;13925727;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
ПИК;developer;https://www.cian.ru/sale/flat/313833451/;Москва;sale;flat;2;14;2;53.1;13914217;;переулок Сурожский;;Филатов Луг;Саларьево парк
Plus Development;developer;https://www.cian.ru/sale/flat/311082718/;Москва;sale;flat;2;23;2;66.3;13928918;;;;Филатов Луг;Детали ЖК
;;https://www.cian.ru/sale/flat/314714401/;Москва;sale;flat;6;10;2;41.2;13800000;Кунцево;4-я Мякининская ;27;Строгино;Клубный дом Рублево
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/315457204/;Москва;sale;flat;3;22;2;59.1;13883032;;;к4;Рассказовка;Город-парк Первый Московский
ПИК;developer;https://www.cian.ru/sale/flat/297467951/;Москва;sale;flat;2;25;2;59.6;13898720;Крюково;Зеленоград;6.1;Зеленоград — Крюково;Зелёный парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/316002878/;Москва;sale;flat;4;5;2;45.8;14000000;Зюзино; Каховка;13К5;Зюзино;
СТРОЙИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294870513/;Москва;sale;flat;23;25;2;63.8;13950498;Некрасовка; Липчанского;10;Некрасовка;Некрасовка
1-й ДСК;developer;https://www.cian.ru/sale/flat/308023490/;Москва;sale;flat;3;16;2;56.0;;;;1;Корниловская;1-й Ясеневский ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/315727786/;Москва;sale;flat;2;22;2;69.5;14070000;;;к6;Саларьево;Филатов Луг ЖК
ПИК;developer;https://www.cian.ru/sale/flat/313743376/;Москва;sale;flat;14;17;2;65.8;14035140;Южное Бутово;;;Щербинка;Никольские Луга ЖК
Колди;developer;https://www.cian.ru/sale/flat/302241216/;Москва;sale;flat;10;21;2;48.12;14086311;Нижегородский;Автомобильный проезд;4;Калитники;N’ICE LOFT
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/313874547/;Москва;sale;flat;2;19;2;60.7;14025185;;;9-я фаза;Филатов Луг;Первый Московский ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304057197/;Москва;sale;flat;2;19;2;60.4;13957177;;;9-я фаза;Филатов Луг;Первый Московский ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/313874512/;Москва;sale;flat;3;19;2;62.5;13951349;;;4;Филатов Луг;Город-парк Первый Московский
Самолет;developer;https://www.cian.ru/sale/flat/309185888/;Москва;sale;flat;12;14;2;52.58;14089420;; Любучанская;;Щербинка;Остафьево
ID 101030665;homeowner;https://www.cian.ru/sale/flat/316132430/;Москва;sale;flat;6;9;2;44.4;13950000;Марьино;Новочеркасский бульвар;4;Курьяново;
ПИК;developer;https://www.cian.ru/sale/flat/315601009/;Москва;sale;flat;5;11;2;68.8;14094643;Крюково;Зеленоград;6.1;Зеленоград — Крюково;Зелёный парк
Level Group;developer;https://www.cian.ru/sale/flat/313377570/;Москва;sale;flat;4;13;2;45.1;;Печатники;Южнопортовая ;28А/16;Кожуховская;Level Южнопортовая
;;https://www.cian.ru/sale/flat/312775920/;Москва;sale;flat;24;24;2;35.33;13961585;Соколиная гора;;;Измайлово;Измайловский Парк ЖК
;;https://www.cian.ru/sale/flat/314714377/;Москва;sale;flat;9;10;2;36.5;14000000;Кунцево;4-я Мякининская ;27;Строгино;Клубный дом Рублево
ПИК;developer;https://www.cian.ru/sale/flat/312497863/;Москва;sale;flat;9;11;2;66.5;14051184;Крюково;Зеленоград;6.1;Зеленоград — Крюково;Зелёный парк
ПИК;developer;https://www.cian.ru/sale/flat/309476560/;Москва;sale;flat;3;25;2;51.4;14016780;Кунцево;№ 100 кв-л;1к2;Мякинино;Мякинино парк
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/315883221/;Москва;sale;flat;29;33;2;46.1;14200000;Люблино;Иловайская ;2;Перерва;Люблинский парк
Андрей Гладышев;realtor;https://www.cian.ru/sale/flat/316087122/;Москва;sale;flat;7;9;2;38.0;14200000;Даниловский;3-я Рощинская ;5;Тульская;
Основа;developer;https://www.cian.ru/sale/flat/293383516/;Москва;sale;flat;13;20;2;61.1;14136707;Северный;Долгопрудненское шоссе;3А;Новодачная;ФизтехСити
Основа;developer;https://www.cian.ru/sale/flat/313826208/;Москва;sale;flat;3;35;2;48.4;14229600;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
Основа;developer;https://www.cian.ru/sale/flat/302401515/;Москва;sale;flat;18;20;2;55.7;14186790;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
INGRAD;developer;https://www.cian.ru/sale/flat/315727782/;Москва;sale;flat;1;22;2;67.9;14230000;;;к6;Саларьево;Филатов Луг ЖК
Колди;developer;https://www.cian.ru/sale/flat/302241718/;Москва;sale;flat;13;21;2;47.91;14180952;Нижегородский;;;Калитники;Н'айс Лофт ЖК
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370307/;Москва;sale;flat;2;23;2;49.8;14196277;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
А101;developer;https://www.cian.ru/sale/flat/315735897/;Москва;sale;flat;22;22;2;52.0;14111760;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/311082636/;Москва;sale;flat;3;23;2;73.8;14141925;;;;Филатов Луг;Детали ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/311083233/;Москва;sale;flat;2;23;2;63.7;14227778;;;;Филатов Луг;Детали ЖК
